Nov. 23, 2024   17:47:14
A.C. Impedance
File: e:\2023data\yx\20241123\6-1\eis.bin
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.848
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 5.072e+0, 3.690e-1, 5.086e+0, 4.2
8.252e+4, 5.078e+0, 2.983e-1, 5.087e+0, 3.4
6.812e+4, 5.087e+0, 2.364e-1, 5.093e+0, 2.7
5.625e+4, 5.062e+0, 1.870e-1, 5.065e+0, 2.1
4.644e+4, 5.042e+0, 1.469e-1, 5.044e+0, 1.7
3.833e+4, 5.017e+0, 1.160e-1, 5.019e+0, 1.3
3.164e+4, 5.027e+0, 8.948e-2, 5.027e+0, 1.0
2.612e+4, 5.056e+0, 6.627e-2, 5.056e+0, 0.8
2.153e+4, 5.066e+0, 4.874e-2, 5.067e+0, 0.6
1.777e+4, 5.062e+0, 3.578e-2, 5.062e+0, 0.4
1.470e+4, 5.070e+0, 2.460e-2, 5.070e+0, 0.3
1.211e+4, 5.084e+0, 1.594e-2, 5.084e+0, 0.2
1.001e+4, 5.099e+0, 9.235e-3, 5.099e+0, 0.1
8.252e+3, 5.105e+0, 1.974e-3, 5.105e+0, 0.0
6.812e+3, 5.104e+0, -3.605e-3, 5.104e+0, -0.0
5.625e+3, 5.112e+0, -6.088e-3, 5.112e+0, -0.1
4.643e+3, 5.126e+0, -8.865e-3, 5.126e+0, -0.1
3.833e+3, 5.113e+0, -1.171e-2, 5.113e+0, -0.1
3.164e+3, 5.093e+0, -1.439e-2, 5.093e+0, -0.2
2.612e+3, 5.085e+0, -1.704e-2, 5.085e+0, -0.2
2.153e+3, 5.076e+0, -2.010e-2, 5.076e+0, -0.2
1.777e+3, 5.083e+0, -2.296e-2, 5.083e+0, -0.3
1.470e+3, 5.109e+0, -2.564e-2, 5.109e+0, -0.3
1.211e+3, 5.104e+0, -2.958e-2, 5.104e+0, -0.3
1.001e+3, 5.058e+0, -3.223e-2, 5.058e+0, -0.4
8.252e+2, 5.020e+0, -3.406e-2, 5.020e+0, -0.4
6.836e+2, 5.002e+0, -3.799e-2, 5.002e+0, -0.4
5.615e+2, 5.008e+0, -4.417e-2, 5.008e+0, -0.5
4.639e+2, 5.010e+0, -5.209e-2, 5.010e+0, -0.6
3.809e+2, 5.009e+0, -6.122e-2, 5.009e+0, -0.7
3.174e+2, 5.018e+0, -7.203e-2, 5.019e+0, -0.8
2.588e+2, 5.035e+0, -8.480e-2, 5.036e+0, -1.0
2.148e+2, 5.036e+0, -9.956e-2, 5.037e+0, -1.1
1.758e+2, 5.019e+0, -1.162e-1, 5.021e+0, -1.3
1.465e+2, 5.007e+0, -1.351e-1, 5.009e+0, -1.5
1.221e+2, 5.012e+0, -1.559e-1, 5.014e+0, -1.8
9.766e+1, 5.034e+0, -1.685e-1, 5.037e+0, -1.9
8.254e+1, 5.062e+0, -1.828e-1, 5.066e+0, -2.1
6.813e+1, 5.081e+0, -2.174e-1, 5.086e+0, -2.4
5.623e+1, 5.092e+0, -2.671e-1, 5.099e+0, -3.0
4.642e+1, 5.112e+0, -3.279e-1, 5.123e+0, -3.7
3.831e+1, 5.130e+0, -3.986e-1, 5.145e+0, -4.4
