Nov. 23, 2024   17:43:28
Linear Sweep Voltammetry
File: e:\2023data\yx\20241123\6-1\lsv.csv
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.548
Final E (V) = 1.348
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2

Results:

Channel 1:

Potential/V, Current/A

0.548, 2.582e-5
0.549, 6.137e-5
0.550, 6.959e-5
0.551, 7.358e-5
0.552, 7.500e-5
0.553, 7.623e-5
0.554, 7.771e-5
0.555, 7.838e-5
0.556, 7.989e-5
0.557, 8.013e-5
0.558, 8.063e-5
0.559, 8.124e-5
0.560, 8.112e-5
0.561, 8.167e-5
0.562, 8.244e-5
0.563, 8.287e-5
0.564, 8.333e-5
0.565, 8.272e-5
0.566, 8.358e-5
0.567, 8.364e-5
0.568, 8.392e-5
0.569, 8.395e-5
0.570, 8.484e-5
0.571, 8.450e-5
0.572, 8.490e-5
0.573, 8.518e-5
0.574, 8.524e-5
0.575, 8.558e-5
0.576, 8.558e-5
0.577, 8.542e-5
0.578, 8.579e-5
0.579, 8.595e-5
0.580, 8.650e-5
0.581, 8.653e-5
0.582, 8.610e-5
0.583, 8.662e-5
0.584, 8.622e-5
0.585, 8.687e-5
0.586, 8.721e-5
0.587, 8.678e-5
0.588, 8.755e-5
0.589, 8.718e-5
0.590, 8.739e-5
0.591, 8.804e-5
0.592, 8.810e-5
0.593, 8.785e-5
0.594, 8.773e-5
0.595, 8.767e-5
0.596, 8.862e-5
0.597, 8.807e-5
0.598, 8.825e-5
0.599, 8.905e-5
0.600, 8.810e-5
0.601, 8.887e-5
0.602, 8.921e-5
0.603, 8.915e-5
0.604, 8.933e-5
0.605, 8.890e-5
0.606, 8.945e-5
0.607, 8.992e-5
0.608, 9.004e-5
0.609, 8.942e-5
0.610, 9.071e-5
0.611, 8.970e-5
0.612, 9.075e-5
0.613, 9.022e-5
0.614, 9.130e-5
0.615, 9.167e-5
0.616, 9.118e-5
0.617, 9.035e-5
0.618, 9.151e-5
0.619, 9.164e-5
0.620, 9.219e-5
0.621, 9.241e-5
0.622, 9.161e-5
0.623, 9.182e-5
0.624, 9.191e-5
0.625, 9.222e-5
0.626, 9.299e-5
0.627, 9.299e-5
0.628, 9.391e-5
0.629, 9.290e-5
0.630, 9.311e-5
0.631, 9.327e-5
0.632, 9.342e-5
0.633, 9.376e-5
0.634, 9.419e-5
0.635, 9.398e-5
0.636, 9.484e-5
0.637, 9.487e-5
0.638, 9.487e-5
0.639, 9.511e-5
0.640, 9.487e-5
0.641, 9.517e-5
0.642, 9.616e-5
0.643, 9.594e-5
0.644, 9.622e-5
0.645, 9.579e-5
0.646, 9.607e-5
0.647, 9.696e-5
0.648, 9.687e-5
0.649, 9.705e-5
0.650, 9.730e-5
0.651, 9.711e-5
0.652, 9.791e-5
0.653, 9.813e-5
0.654, 9.807e-5
0.655, 9.843e-5
0.656, 9.887e-5
0.657, 9.899e-5
0.658, 9.927e-5
0.659, 9.963e-5
0.660, 1.007e-4
0.661, 1.001e-4
0.662, 1.004e-4
0.663, 1.010e-4
0.664, 1.007e-4
0.665, 1.019e-4
0.666, 1.019e-4
0.667, 1.013e-4
0.668, 1.021e-4
0.669, 1.025e-4
0.670, 1.025e-4
0.671, 1.032e-4
0.672, 1.030e-4
0.673, 1.038e-4
0.674, 1.040e-4
0.675, 1.048e-4
0.676, 1.051e-4
0.677, 1.053e-4
0.678, 1.056e-4
0.679, 1.061e-4
0.680, 1.055e-4
0.681, 1.061e-4
0.682, 1.073e-4
0.683, 1.069e-4
0.684, 1.080e-4
0.685, 1.079e-4
0.686, 1.074e-4
0.687, 1.091e-4
0.688, 1.085e-4
0.689, 1.089e-4
0.690, 1.101e-4
0.691, 1.098e-4
0.692, 1.108e-4
0.693, 1.108e-4
0.694, 1.111e-4
0.695, 1.123e-4
0.696, 1.115e-4
0.697, 1.122e-4
0.698, 1.130e-4
0.699, 1.133e-4
0.700, 1.138e-4
0.701, 1.142e-4
0.702, 1.143e-4
0.703, 1.153e-4
0.704, 1.154e-4
0.705, 1.158e-4
0.706, 1.166e-4
0.707, 1.167e-4
0.708, 1.173e-4
0.709, 1.178e-4
0.710, 1.182e-4
0.711, 1.189e-4
0.712, 1.185e-4
0.713, 1.197e-4
0.714, 1.205e-4
0.715, 1.203e-4
0.716, 1.209e-4
0.717, 1.223e-4
0.718, 1.223e-4
0.719, 1.228e-4
0.720, 1.225e-4
0.721, 1.240e-4
0.722, 1.257e-4
0.723, 1.244e-4
0.724, 1.257e-4
0.725, 1.260e-4
0.726, 1.264e-4
0.727, 1.280e-4
0.728, 1.282e-4
0.729, 1.289e-4
0.730, 1.292e-4
0.731, 1.294e-4
0.732, 1.316e-4
0.733, 1.318e-4
0.734, 1.322e-4
0.735, 1.335e-4
0.736, 1.334e-4
0.737, 1.343e-4
0.738, 1.360e-4
0.739, 1.371e-4
0.740, 1.388e-4
0.741, 1.392e-4
0.742, 1.400e-4
0.743, 1.420e-4
0.744, 1.433e-4
0.745, 1.446e-4
0.746, 1.459e-4
0.747, 1.467e-4
0.748, 1.495e-4
0.749, 1.509e-4
0.750, 1.530e-4
0.751, 1.547e-4
0.752, 1.566e-4
0.753, 1.591e-4
0.754, 1.618e-4
0.755, 1.645e-4
0.756, 1.673e-4
0.757, 1.697e-4
0.758, 1.730e-4
0.759, 1.767e-4
0.760, 1.794e-4
0.761, 1.847e-4
0.762, 1.885e-4
0.763, 1.920e-4
0.764, 1.975e-4
0.765, 2.021e-4
0.766, 2.075e-4
0.767, 2.146e-4
0.768, 2.197e-4
0.769, 2.265e-4
0.770, 2.326e-4
