Nov. 23, 2024   17:50:23
A.C. Impedance
File: d:\yx\20241123\6-2\eis.bin
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.848
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 4.519e+0, 5.681e-1, 4.555e+0, 7.2
8.252e+4, 4.494e+0, 4.735e-1, 4.519e+0, 6.0
6.812e+4, 4.492e+0, 3.866e-1, 4.509e+0, 4.9
5.625e+4, 4.498e+0, 3.150e-1, 4.509e+0, 4.0
4.644e+4, 4.493e+0, 2.573e-1, 4.501e+0, 3.3
3.833e+4, 4.453e+0, 2.099e-1, 4.458e+0, 2.7
3.164e+4, 4.469e+0, 1.679e-1, 4.472e+0, 2.2
2.612e+4, 4.486e+0, 1.395e-1, 4.488e+0, 1.8
2.153e+4, 4.485e+0, 1.072e-1, 4.487e+0, 1.4
1.777e+4, 4.481e+0, 8.830e-2, 4.482e+0, 1.1
1.470e+4, 4.494e+0, 7.334e-2, 4.495e+0, 0.9
1.211e+4, 4.479e+0, 5.573e-2, 4.479e+0, 0.7
1.001e+4, 4.487e+0, 4.462e-2, 4.487e+0, 0.6
8.252e+3, 4.492e+0, 3.231e-2, 4.492e+0, 0.4
6.812e+3, 4.495e+0, 2.539e-2, 4.495e+0, 0.3
5.625e+3, 4.510e+0, 1.351e-2, 4.510e+0, 0.2
4.643e+3, 4.464e+0, 1.030e-2, 4.464e+0, 0.1
3.833e+3, 4.470e+0, 9.265e-3, 4.470e+0, 0.1
3.164e+3, 4.495e+0, -6.291e-3, 4.495e+0, -0.1
2.612e+3, 4.507e+0, -6.418e-3, 4.507e+0, -0.1
2.153e+3, 4.504e+0, -1.550e-2, 4.504e+0, -0.2
1.777e+3, 4.519e+0, -2.097e-2, 4.519e+0, -0.3
1.470e+3, 4.523e+0, -2.645e-2, 4.523e+0, -0.3
1.211e+3, 4.528e+0, -3.251e-2, 4.528e+0, -0.4
1.001e+3, 4.539e+0, -3.876e-2, 4.539e+0, -0.5
8.252e+2, 4.551e+0, -4.221e-2, 4.552e+0, -0.5
6.836e+2, 4.559e+0, -5.149e-2, 4.559e+0, -0.6
5.615e+2, 4.512e+0, -6.165e-2, 4.513e+0, -0.8
4.639e+2, 4.526e+0, -7.202e-2, 4.526e+0, -0.9
3.809e+2, 4.540e+0, -8.995e-2, 4.540e+0, -1.1
3.174e+2, 4.550e+0, -1.029e-1, 4.551e+0, -1.3
2.588e+2, 4.571e+0, -1.241e-1, 4.573e+0, -1.6
2.148e+2, 4.579e+0, -1.478e-1, 4.582e+0, -1.8
1.758e+2, 4.583e+0, -1.759e-1, 4.587e+0, -2.2
1.465e+2, 4.578e+0, -2.029e-1, 4.582e+0, -2.5
1.221e+2, 4.594e+0, -2.367e-1, 4.600e+0, -2.9
9.766e+1, 4.618e+0, -2.712e-1, 4.626e+0, -3.4
8.254e+1, 4.656e+0, -2.790e-1, 4.665e+0, -3.4
6.813e+1, 4.677e+0, -3.435e-1, 4.689e+0, -4.2
5.623e+1, 4.704e+0, -4.337e-1, 4.724e+0, -5.3
4.642e+1, 4.728e+0, -4.954e-1, 4.754e+0, -6.0
3.831e+1, 4.778e+0, -5.880e-1, 4.814e+0, -7.0
3.162e+1, 4.830e+0, -6.898e-1, 4.879e+0, -8.1
2.610e+1, 4.876e+0, -7.960e-1, 4.940e+0, -9.3
2.154e+1, 4.931e+0, -9.218e-1, 5.017e+0, -10.6
1.778e+1, 4.951e+0, -1.058e+0, 5.063e+0, -12.1
1.468e+1, 5.064e+0, -1.218e+0, 5.209e+0, -13.5
1.212e+1, 5.193e+0, -1.406e+0, 5.380e+0, -15.1
1.000e+1, 5.344e+0, -1.592e+0, 5.576e+0, -16.6
8.254e+0, 5.540e+0, -1.833e+0, 5.836e+0, -18.3
6.813e+0, 5.758e+0, -2.091e+0, 6.126e+0, -20.0
5.623e+0, 6.032e+0, -2.356e+0, 6.476e+0, -21.3
4.642e+0, 6.412e+0, -2.653e+0, 6.939e+0, -22.5
3.831e+0, 6.765e+0, -2.985e+0, 7.394e+0, -23.8
3.162e+0, 7.280e+0, -3.287e+0, 7.987e+0, -24.3
2.610e+0, 7.791e+0, -3.565e+0, 8.568e+0, -24.6
2.154e+0, 8.501e+0, -3.842e+0, 9.329e+0, -24.3
1.778e+0, 9.083e+0, -4.008e+0, 9.928e+0, -23.8
1.468e+0, 1.013e+1, -4.111e+0, 1.094e+1, -22.1
1.212e+0, 1.071e+1, -4.030e+0, 1.144e+1, -20.6
1.000e+0, 1.134e+1, -3.863e+0, 1.198e+1, -18.8
8.254e-1, 1.196e+1, -3.572e+0, 1.248e+1, -16.6
6.813e-1, 1.246e+1, -3.408e+0, 1.292e+1, -15.3
5.623e-1, 1.286e+1, -2.992e+0, 1.320e+1, -13.1
