Nov. 23, 2024   17:46:37
Linear Sweep Voltammetry
File: d:\yx\20241123\6-2\lsv.csv
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.548
Final E (V) = 1.348
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Results:

Channel 1:

Potential/V, Current/A

0.548, 2.956e-5
0.549, 6.182e-5
0.550, 6.896e-5
0.551, 7.376e-5
0.552, 7.595e-5
0.553, 7.875e-5
0.554, 8.106e-5
0.555, 8.266e-5
0.556, 8.386e-5
0.557, 8.540e-5
0.558, 8.561e-5
0.559, 8.589e-5
0.560, 8.620e-5
0.561, 8.638e-5
0.562, 8.691e-5
0.563, 8.721e-5
0.564, 8.752e-5
0.565, 8.697e-5
0.566, 8.703e-5
0.567, 8.808e-5
0.568, 8.774e-5
0.569, 8.841e-5
0.570, 8.884e-5
0.571, 8.946e-5
0.572, 9.041e-5
0.573, 9.060e-5
0.574, 9.097e-5
0.575, 9.211e-5
0.576, 9.248e-5
0.577, 9.325e-5
0.578, 9.368e-5
0.579, 9.395e-5
0.580, 9.448e-5
0.581, 9.417e-5
0.582, 9.389e-5
0.583, 9.408e-5
0.584, 9.392e-5
0.585, 9.389e-5
0.586, 9.349e-5
0.587, 9.365e-5
0.588, 9.377e-5
0.589, 9.352e-5
0.590, 9.392e-5
0.591, 9.420e-5
0.592, 9.402e-5
0.593, 9.420e-5
0.594, 9.552e-5
0.595, 9.546e-5
0.596, 9.623e-5
0.597, 9.626e-5
0.598, 9.657e-5
0.599, 9.746e-5
0.600, 9.786e-5
0.601, 9.842e-5
0.602, 9.876e-5
0.603, 9.959e-5
0.604, 1.000e-4
0.605, 1.009e-4
0.606, 1.004e-4
0.607, 1.011e-4
0.608, 1.008e-4
0.609, 1.010e-4
0.610, 1.012e-4
0.611, 1.008e-4
0.612, 1.010e-4
0.613, 1.006e-4
0.614, 1.009e-4
0.615, 1.009e-4
0.616, 1.012e-4
0.617, 1.009e-4
0.618, 1.021e-4
0.619, 1.024e-4
0.620, 1.043e-4
0.621, 1.042e-4
0.622, 1.048e-4
0.623, 1.055e-4
0.624, 1.049e-4
0.625, 1.058e-4
0.626, 1.059e-4
0.627, 1.062e-4
0.628, 1.057e-4
0.629, 1.060e-4
0.630, 1.068e-4
0.631, 1.070e-4
0.632, 1.067e-4
0.633, 1.074e-4
0.634, 1.080e-4
0.635, 1.083e-4
0.636, 1.092e-4
0.637, 1.093e-4
0.638, 1.093e-4
0.639, 1.103e-4
0.640, 1.093e-4
0.641, 1.095e-4
0.642, 1.097e-4
0.643, 1.101e-4
0.644, 1.103e-4
0.645, 1.098e-4
0.646, 1.101e-4
0.647, 1.111e-4
0.648, 1.101e-4
0.649, 1.112e-4
0.650, 1.113e-4
0.651, 1.123e-4
0.652, 1.126e-4
0.653, 1.140e-4
0.654, 1.147e-4
0.655, 1.158e-4
0.656, 1.164e-4
0.657, 1.164e-4
0.658, 1.173e-4
0.659, 1.178e-4
0.660, 1.172e-4
0.661, 1.168e-4
0.662, 1.164e-4
0.663, 1.173e-4
0.664, 1.177e-4
0.665, 1.177e-4
0.666, 1.176e-4
0.667, 1.175e-4
0.668, 1.198e-4
0.669, 1.205e-4
0.670, 1.210e-4
0.671, 1.222e-4
0.672, 1.237e-4
0.673, 1.240e-4
0.674, 1.236e-4
0.675, 1.234e-4
0.676, 1.235e-4
0.677, 1.230e-4
0.678, 1.237e-4
0.679, 1.249e-4
0.680, 1.244e-4
0.681, 1.248e-4
0.682, 1.282e-4
0.683, 1.291e-4
0.684, 1.303e-4
0.685, 1.304e-4
0.686, 1.301e-4
0.687, 1.314e-4
0.688, 1.305e-4
0.689, 1.309e-4
0.690, 1.315e-4
0.691, 1.311e-4
0.692, 1.312e-4
0.693, 1.312e-4
0.694, 1.319e-4
0.695, 1.329e-4
0.696, 1.341e-4
0.697, 1.356e-4
0.698, 1.373e-4
0.699, 1.380e-4
0.700, 1.392e-4
0.701, 1.399e-4
0.702, 1.399e-4
0.703, 1.405e-4
0.704, 1.403e-4
0.705, 1.412e-4
0.706, 1.401e-4
0.707, 1.402e-4
0.708, 1.408e-4
0.709, 1.413e-4
0.710, 1.425e-4
0.711, 1.439e-4
0.712, 1.452e-4
0.713, 1.467e-4
0.714, 1.480e-4
0.715, 1.488e-4
0.716, 1.498e-4
0.717, 1.505e-4
0.718, 1.492e-4
0.719, 1.503e-4
0.720, 1.498e-4
0.721, 1.503e-4
0.722, 1.511e-4
0.723, 1.521e-4
0.724, 1.516e-4
0.725, 1.521e-4
0.726, 1.534e-4
0.727, 1.534e-4
0.728, 1.554e-4
0.729, 1.563e-4
0.730, 1.583e-4
0.731, 1.584e-4
0.732, 1.604e-4
0.733, 1.613e-4
0.734, 1.626e-4
0.735, 1.640e-4
0.736, 1.633e-4
0.737, 1.650e-4
0.738, 1.660e-4
0.739, 1.666e-4
0.740, 1.687e-4
0.741, 1.688e-4
0.742, 1.702e-4
0.743, 1.716e-4
0.744, 1.723e-4
0.745, 1.732e-4
0.746, 1.739e-4
0.747, 1.739e-4
0.748, 1.765e-4
0.749, 1.774e-4
0.750, 1.792e-4
0.751, 1.813e-4
0.752, 1.833e-4
0.753, 1.854e-4
0.754, 1.870e-4
0.755, 1.886e-4
0.756, 1.934e-4
0.757, 1.979e-4
0.758, 1.995e-4
0.759, 2.027e-4
0.760, 2.050e-4
0.761, 2.073e-4
0.762, 2.099e-4
0.763, 2.136e-4
0.764, 2.176e-4
0.765, 2.198e-4
0.766, 2.237e-4
0.767, 2.293e-4
0.768, 2.355e-4
0.769, 2.397e-4
0.770, 2.447e-4
0.771, 2.515e-4
0.772, 2.583e-4
0.773, 2.632e-4
0.774, 2.725e-4
0.775, 2.799e-4
0.776, 2.874e-4
0.777, 2.960e-4
0.778, 3.022e-4
0.779, 3.083e-4
0.780, 3.194e-4
0.781, 3.277e-4
0.782, 3.400e-4
0.783, 3.499e-4
0.784, 3.622e-4
0.785, 3.754e-4
0.786, 3.905e-4
0.787, 4.037e-4
0.788, 4.200e-4
0.789, 4.308e-4
0.790, 4.496e-4
0.791, 4.653e-4
0.792, 4.822e-4
0.793, 5.004e-4
0.794, 5.194e-4
0.795, 5.401e-4
0.796, 5.616e-4
0.797, 5.819e-4
0.798, 6.075e-4
0.799, 6.308e-4
0.800, 6.552e-4
0.801, 6.826e-4
0.802, 7.093e-4
0.803, 7.358e-4
0.804, 7.672e-4
0.805, 7.955e-4
0.806, 8.272e-4
0.807, 8.595e-4
0.808, 8.909e-4
0.809, 9.272e-4
0.810, 9.602e-4
0.811, 9.968e-4
0.812, 1.036e-3
0.813, 1.078e-3
0.814, 1.117e-3
0.815, 1.159e-3
0.816, 1.198e-3
0.817, 1.246e-3
0.818, 1.289e-3
0.819, 1.342e-3
0.820, 1.388e-3
0.821, 1.438e-3
0.822, 1.487e-3
0.823, 1.544e-3
0.824, 1.593e-3
0.825, 1.647e-3
0.826, 1.702e-3
0.827, 1.759e-3
0.828, 1.813e-3
0.829, 1.875e-3
0.830, 1.934e-3
0.831, 1.993e-3
0.832, 2.056e-3
0.833, 2.119e-3
0.834, 2.184e-3
0.835, 2.243e-3
0.836, 2.316e-3
0.837, 2.384e-3
0.838, 2.451e-3
0.839, 2.516e-3
0.840, 2.591e-3
0.841, 2.666e-3
0.842, 2.742e-3
0.843, 2.814e-3
0.844, 2.894e-3
0.845, 2.965e-3
0.846, 3.046e-3
0.847, 3.114e-3
0.848, 3.188e-3
0.849, 3.280e-3
0.850, 3.354e-3
0.851, 3.437e-3
0.852, 3.532e-3
0.853, 3.612e-3
0.854, 3.702e-3
0.855, 3.794e-3
0.856, 3.889e-3
0.857, 3.985e-3
0.858, 4.071e-3
0.859, 4.163e-3
0.860, 4.240e-3
0.861, 4.330e-3
0.862, 4.437e-3
0.863, 4.597e-3
0.864, 4.680e-3
0.865, 4.770e-3
0.866, 4.865e-3
0.867, 4.973e-3
0.868, 5.071e-3
0.869, 5.182e-3
0.870, 5.271e-3
0.871, 5.379e-3
0.872, 5.468e-3
0.873, 5.585e-3
0.874, 5.684e-3
0.875, 5.791e-3
0.876, 5.887e-3
0.877, 5.998e-3
0.878, 6.105e-3
0.879, 6.201e-3
0.880, 6.308e-3
0.881, 6.407e-3
0.882, 6.524e-3
0.883, 6.632e-3
0.884, 6.730e-3
0.885, 6.844e-3
0.886, 6.939e-3
0.887, 7.050e-3
0.888, 7.173e-3
0.889, 7.266e-3
0.890, 7.386e-3
0.891, 7.503e-3
0.892, 7.626e-3
0.893, 7.752e-3
0.894, 7.857e-3
0.895, 7.977e-3
0.896, 8.094e-3
0.897, 8.210e-3
0.898, 8.315e-3
0.899, 8.466e-3
0.900, 8.601e-3
0.901, 8.678e-3
0.902, 8.820e-3
0.903, 8.937e-3
0.904, 9.088e-3
0.905, 9.174e-3
0.906, 9.285e-3
0.907, 9.429e-3
0.908, 9.546e-3
0.909, 9.651e-3
0.910, 9.740e-3
0.911, 9.891e-3
0.912, 1.001e-2
0.913, 1.015e-2
0.914, 1.024e-2
0.915, 1.036e-2
0.916, 1.048e-2
0.917, 1.061e-2
0.918, 1.075e-2
0.919, 1.084e-2
0.920, 1.101e-2
0.921, 1.111e-2
0.922, 1.121e-2
0.923, 1.131e-2
0.924, 1.144e-2
0.925, 1.160e-2
0.926, 1.173e-2
0.927, 1.183e-2
0.928, 1.200e-2
0.929, 1.211e-2
0.930, 1.226e-2
0.931, 1.243e-2
0.932, 1.278e-2
0.933, 1.292e-2
0.934, 1.302e-2
0.935, 1.314e-2
0.936, 1.330e-2
0.937, 1.340e-2
0.938, 1.350e-2
0.939, 1.368e-2
0.940, 1.374e-2
0.941, 1.382e-2
0.942, 1.397e-2
0.943, 1.413e-2
0.944, 1.420e-2
0.945, 1.433e-2
0.946, 1.448e-2
0.947, 1.451e-2
0.948, 1.470e-2
0.949, 1.482e-2
0.950, 1.517e-2
0.951, 1.531e-2
0.952, 1.537e-2
0.953, 1.554e-2
0.954, 1.589e-2
0.955, 1.598e-2
0.956, 1.602e-2
0.957, 1.613e-2
0.958, 1.624e-2
0.959, 1.635e-2
0.960, 1.654e-2
0.961, 1.666e-2
0.962, 1.675e-2
0.963, 1.678e-2
0.964, 1.691e-2
0.965, 1.710e-2
0.966, 1.727e-2
0.967, 1.734e-2
0.968, 1.755e-2
0.969, 1.771e-2
0.970, 1.794e-2
0.971, 1.797e-2
0.972, 1.809e-2
0.973, 1.827e-2
0.974, 1.832e-2
0.975, 1.839e-2
0.976, 1.872e-2
0.977, 1.889e-2
0.978, 1.901e-2
0.979, 1.913e-2
0.980, 1.919e-2
0.981, 1.932e-2
0.982, 1.947e-2
0.983, 1.951e-2
0.984, 1.980e-2
0.985, 1.987e-2
0.986, 1.987e-2
0.987, 2.023e-2
0.988, 2.032e-2
0.989, 2.042e-2
0.990, 2.062e-2
0.991, 2.061e-2
0.992, 2.076e-2
0.993, 2.085e-2
0.994, 2.104e-2
0.995, 2.145e-2
0.996, 2.189e-2
0.997, 2.193e-2
0.998, 2.196e-2
0.999, 2.230e-2
1.000, 2.265e-2
1.001, 2.281e-2
1.002, 2.291e-2
1.003, 2.303e-2
1.004, 2.309e-2
1.005, 2.317e-2
1.006, 2.334e-2
1.007, 2.340e-2
1.008, 2.368e-2
1.009, 2.384e-2
1.010, 2.393e-2
1.011, 2.404e-2
1.012, 2.420e-2
1.013, 2.429e-2
1.014, 2.441e-2
1.015, 2.464e-2
1.016, 2.476e-2
1.017, 2.497e-2
1.018, 2.491e-2
1.019, 2.529e-2
1.020, 2.529e-2
1.021, 2.534e-2
1.022, 2.553e-2
1.023, 2.552e-2
1.024, 2.565e-2
1.025, 2.593e-2
1.026, 2.631e-2
1.027, 2.652e-2
1.028, 2.669e-2
1.029, 2.678e-2
1.030, 2.681e-2
1.031, 2.706e-2
1.032, 2.721e-2
1.033, 2.718e-2
1.034, 2.722e-2
1.035, 2.742e-2
1.036, 2.769e-2
1.037, 2.787e-2
1.038, 2.806e-2
1.039, 2.802e-2
1.040, 2.807e-2
1.041, 2.810e-2
1.042, 2.866e-2
1.043, 2.862e-2
1.044, 2.865e-2
1.045, 2.862e-2
1.046, 2.896e-2
1.047, 2.897e-2
1.048, 2.967e-2
1.049, 2.983e-2
1.050, 2.980e-2
1.051, 2.970e-2
1.052, 3.006e-2
1.053, 3.086e-2
1.054, 3.092e-2
1.055, 3.095e-2
1.056, 3.120e-2
1.057, 3.111e-2
1.058, 3.114e-2
1.059, 3.138e-2
1.060, 3.154e-2
1.061, 3.148e-2
1.062, 3.169e-2
1.063, 3.182e-2
1.064, 3.206e-2
1.065, 3.243e-2
1.066, 3.255e-2
1.067, 3.265e-2
1.068, 3.292e-2
1.069, 3.286e-2
1.070, 3.299e-2
1.071, 3.305e-2
1.072, 3.311e-2
1.073, 3.314e-2
1.074, 3.326e-2
1.075, 3.339e-2
1.076, 3.360e-2
1.077, 3.400e-2
1.078, 3.400e-2
1.079, 3.403e-2
1.080, 3.415e-2
1.081, 3.425e-2
1.082, 3.434e-2
1.083, 3.440e-2
1.084, 3.443e-2
1.085, 3.455e-2
1.086, 3.480e-2
1.087, 3.486e-2
1.088, 3.499e-2
1.089, 3.591e-2
1.090, 3.591e-2
1.091, 3.557e-2
1.092, 3.492e-2
1.093, 3.477e-2
1.094, 3.495e-2
1.095, 3.606e-2
1.096, 3.671e-2
1.097, 3.732e-2
1.098, 3.779e-2
1.099, 3.757e-2
1.100, 3.806e-2
1.101, 3.791e-2
1.102, 3.794e-2
1.103, 3.849e-2
1.104, 3.868e-2
1.105, 3.908e-2
1.106, 3.926e-2
1.107, 3.933e-2
1.108, 3.951e-2
1.109, 3.979e-2
1.110, 3.982e-2
1.111, 3.963e-2
1.112, 3.985e-2
1.113, 4.025e-2
1.114, 4.065e-2
1.115, 4.077e-2
1.116, 4.062e-2
1.117, 4.080e-2
1.118, 4.074e-2
1.119, 4.086e-2
1.120, 4.120e-2
1.121, 4.126e-2
1.122, 4.163e-2
1.123, 4.268e-2
1.124, 4.253e-2
1.125, 4.243e-2
1.126, 4.274e-2
1.127, 4.274e-2
1.128, 4.308e-2
1.129, 4.366e-2
1.130, 4.339e-2
1.131, 4.373e-2
1.132, 4.354e-2
1.133, 4.413e-2
1.134, 4.462e-2
1.135, 4.422e-2
1.136, 4.422e-2
1.137, 4.434e-2
1.138, 4.406e-2
1.139, 4.406e-2
1.140, 4.446e-2
1.141, 4.471e-2
1.142, 4.456e-2
1.143, 4.496e-2
1.144, 4.505e-2
1.145, 4.490e-2
1.146, 4.517e-2
1.147, 4.523e-2
1.148, 4.548e-2
1.149, 4.567e-2
1.150, 4.628e-2
1.151, 4.585e-2
1.152, 4.597e-2
1.153, 4.576e-2
1.154, 4.591e-2
1.155, 4.610e-2
1.156, 4.634e-2
1.157, 4.656e-2
1.158, 4.696e-2
1.159, 4.773e-2
1.160, 4.776e-2
1.161, 4.816e-2
1.162, 4.803e-2
1.163, 4.831e-2
1.164, 4.896e-2
1.165, 4.880e-2
1.166, 4.945e-2
1.167, 4.908e-2
1.168, 4.927e-2
1.169, 4.874e-2
1.170, 4.877e-2
1.171, 4.831e-2
1.172, 4.880e-2
1.173, 4.893e-2
1.174, 4.908e-2
1.175, 4.902e-2
1.176, 4.954e-2
1.177, 4.951e-2
1.178, 4.991e-2
1.179, 5.004e-2
1.180, 5.059e-2
1.181, 5.007e-2
1.182, 5.047e-2
1.183, 4.973e-2
1.184, 4.954e-2
1.185, 5.074e-2
1.186, 5.007e-2
1.187, 5.090e-2
1.188, 5.053e-2
1.189, 5.074e-2
1.190, 5.077e-2
1.191, 5.053e-2
1.192, 5.170e-2
1.193, 5.164e-2
1.194, 5.244e-2
1.195, 5.302e-2
1.196, 5.247e-2
1.197, 5.262e-2
1.198, 5.293e-2
1.199, 5.302e-2
1.200, 5.241e-2
1.201, 5.321e-2
1.202, 5.379e-2
1.203, 5.287e-2
1.204, 5.336e-2
1.205, 5.324e-2
1.206, 5.579e-2
1.207, 5.708e-2
1.208, 5.730e-2
1.209, 5.798e-2
1.210, 5.785e-2
1.211, 5.791e-2
1.212, 5.816e-2
1.213, 5.798e-2
1.214, 5.813e-2
1.215, 5.896e-2
1.216, 5.945e-2
1.217, 5.951e-2
1.218, 5.976e-2
1.219, 5.948e-2
1.220, 5.961e-2
1.221, 5.973e-2
1.222, 6.001e-2
1.223, 5.951e-2
1.224, 5.964e-2
1.225, 5.976e-2
1.226, 5.951e-2
1.227, 5.961e-2
1.228, 6.007e-2
1.229, 5.998e-2
1.230, 6.062e-2
1.231, 6.010e-2
1.232, 6.062e-2
1.233, 6.108e-2
1.234, 6.053e-2
1.235, 6.050e-2
1.236, 6.112e-2
1.237, 6.071e-2
1.238, 6.108e-2
1.239, 6.133e-2
1.240, 6.068e-2
1.241, 6.152e-2
1.242, 6.179e-2
1.243, 6.253e-2
1.244, 6.275e-2
1.245, 6.287e-2
1.246, 6.290e-2
1.247, 6.330e-2
1.248, 6.345e-2
1.249, 6.272e-2
1.250, 6.278e-2
1.251, 6.318e-2
1.252, 6.262e-2
1.253, 6.232e-2
1.254, 6.278e-2
1.255, 6.232e-2
1.256, 6.225e-2
1.257, 6.247e-2
1.258, 6.259e-2
1.259, 6.299e-2
1.260, 6.407e-2
1.261, 6.472e-2
1.262, 6.407e-2
1.263, 6.459e-2
1.264, 6.432e-2
1.265, 6.465e-2
1.266, 6.512e-2
1.267, 6.478e-2
1.268, 6.576e-2
1.269, 6.545e-2
1.270, 6.545e-2
1.271, 6.625e-2
1.272, 6.659e-2
1.273, 6.752e-2
1.274, 6.699e-2
1.275, 6.675e-2
1.276, 6.598e-2
1.277, 6.752e-2
1.278, 6.786e-2
1.279, 6.819e-2
1.280, 6.847e-2
1.281, 6.838e-2
1.282, 6.850e-2
1.283, 6.862e-2
1.284, 6.899e-2
1.285, 6.949e-2
1.286, 6.989e-2
1.287, 6.872e-2
1.288, 6.967e-2
1.289, 6.906e-2
1.290, 6.924e-2
1.291, 7.010e-2
1.292, 7.044e-2
1.293, 7.072e-2
1.294, 7.004e-2
1.295, 7.023e-2
1.296, 7.026e-2
1.297, 7.001e-2
1.298, 6.958e-2
1.299, 7.059e-2
1.300, 7.063e-2
1.301, 7.081e-2
1.302, 7.115e-2
1.303, 7.189e-2
1.304, 7.281e-2
1.305, 7.352e-2
1.306, 7.410e-2
1.307, 7.426e-2
1.308, 7.460e-2
1.309, 7.413e-2
1.310, 7.503e-2
1.311, 7.503e-2
1.312, 7.533e-2
1.313, 7.657e-2
1.314, 7.709e-2
1.315, 7.807e-2
1.316, 7.875e-2
1.317, 7.777e-2
1.318, 7.795e-2
1.319, 7.847e-2
1.320, 7.801e-2
1.321, 7.767e-2
1.322, 7.773e-2
1.323, 7.783e-2
1.324, 7.675e-2
1.325, 7.804e-2
1.326, 7.835e-2
1.327, 7.810e-2
1.328, 7.820e-2
1.329, 7.727e-2
1.330, 7.801e-2
1.331, 7.875e-2
1.332, 7.860e-2
1.333, 7.863e-2
1.334, 7.915e-2
1.335, 7.995e-2
1.336, 7.977e-2
1.337, 8.032e-2
1.338, 8.026e-2
1.339, 7.933e-2
1.340, 8.032e-2
1.341, 8.041e-2
1.342, 8.023e-2
1.343, 8.010e-2
1.344, 8.146e-2
1.345, 7.792e-2
1.346, 8.444e-2
1.347, 8.691e-2
