Nov. 23, 2024   18:39:54
A.C. Impedance
File: d:\yx\20241123\6-3\eis.bin
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.848
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 4.502e+0, 5.626e-1, 4.537e+0, 7.1
8.252e+4, 4.497e+0, 4.543e-1, 4.520e+0, 5.8
6.812e+4, 4.478e+0, 3.701e-1, 4.494e+0, 4.7
5.625e+4, 4.476e+0, 2.989e-1, 4.485e+0, 3.8
4.644e+4, 4.493e+0, 2.415e-1, 4.499e+0, 3.1
3.833e+4, 4.501e+0, 1.884e-1, 4.505e+0, 2.4
3.164e+4, 4.549e+0, 1.452e-1, 4.552e+0, 1.8
2.612e+4, 4.509e+0, 1.194e-1, 4.511e+0, 1.5
2.153e+4, 4.520e+0, 9.554e-2, 4.521e+0, 1.2
1.777e+4, 4.551e+0, 7.778e-2, 4.552e+0, 1.0
1.470e+4, 4.570e+0, 6.145e-2, 4.571e+0, 0.8
1.211e+4, 4.575e+0, 4.808e-2, 4.575e+0, 0.6
1.001e+4, 4.599e+0, 3.425e-2, 4.599e+0, 0.4
8.252e+3, 4.590e+0, 2.634e-2, 4.590e+0, 0.3
6.812e+3, 4.600e+0, 2.844e-2, 4.600e+0, 0.4
5.625e+3, 4.597e+0, 1.546e-2, 4.597e+0, 0.2
4.643e+3, 4.578e+0, 1.035e-2, 4.578e+0, 0.1
3.833e+3, 4.619e+0, 1.093e-2, 4.619e+0, 0.1
3.164e+3, 4.621e+0, 3.372e-3, 4.621e+0, 0.0
2.612e+3, 4.601e+0, -1.410e-3, 4.601e+0, -0.0
2.153e+3, 4.609e+0, -6.508e-3, 4.609e+0, -0.1
1.777e+3, 4.597e+0, -3.869e-3, 4.597e+0, -0.0
1.470e+3, 4.591e+0, -1.369e-2, 4.591e+0, -0.2
1.211e+3, 4.604e+0, -1.448e-2, 4.605e+0, -0.2
1.001e+3, 4.641e+0, -1.645e-2, 4.641e+0, -0.2
8.252e+2, 4.658e+0, -1.715e-2, 4.658e+0, -0.2
6.836e+2, 4.662e+0, -2.262e-2, 4.662e+0, -0.3
5.615e+2, 4.659e+0, -2.876e-2, 4.659e+0, -0.4
4.639e+2, 4.659e+0, -3.597e-2, 4.659e+0, -0.4
3.809e+2, 4.660e+0, -4.473e-2, 4.660e+0, -0.5
3.174e+2, 4.645e+0, -5.098e-2, 4.646e+0, -0.6
2.588e+2, 4.681e+0, -6.214e-2, 4.682e+0, -0.8
2.148e+2, 4.715e+0, -7.279e-2, 4.715e+0, -0.9
1.758e+2, 4.722e+0, -8.668e-2, 4.723e+0, -1.1
1.465e+2, 4.722e+0, -1.032e-1, 4.723e+0, -1.3
1.221e+2, 4.595e+0, -1.191e-1, 4.596e+0, -1.5
9.766e+1, 4.568e+0, -1.332e-1, 4.570e+0, -1.7
8.254e+1, 4.600e+0, -1.214e-1, 4.602e+0, -1.5
6.813e+1, 4.629e+0, -1.612e-1, 4.632e+0, -2.0
5.623e+1, 4.634e+0, -2.163e-1, 4.639e+0, -2.7
4.642e+1, 4.642e+0, -2.500e-1, 4.649e+0, -3.1
3.831e+1, 4.656e+0, -3.068e-1, 4.666e+0, -3.8
3.162e+1, 4.686e+0, -3.719e-1, 4.701e+0, -4.5
2.610e+1, 4.734e+0, -4.485e-1, 4.756e+0, -5.4
2.154e+1, 4.767e+0, -5.323e-1, 4.797e+0, -6.4
1.778e+1, 4.774e+0, -6.304e-1, 4.815e+0, -7.5
1.468e+1, 4.835e+0, -7.402e-1, 4.891e+0, -8.7
1.212e+1, 4.916e+0, -8.800e-1, 4.994e+0, -10.1
1.000e+1, 5.029e+0, -1.027e+0, 5.133e+0, -11.5
8.254e+0, 5.146e+0, -1.188e+0, 5.282e+0, -13.0
6.813e+0, 5.303e+0, -1.377e+0, 5.479e+0, -14.5
5.623e+0, 5.428e+0, -1.551e+0, 5.645e+0, -15.9
4.642e+0, 5.756e+0, -1.775e+0, 6.024e+0, -17.1
3.831e+0, 6.010e+0, -2.008e+0, 6.336e+0, -18.5
3.162e+0, 6.339e+0, -2.241e+0, 6.724e+0, -19.5
2.610e+0, 6.727e+0, -2.412e+0, 7.147e+0, -19.7
2.154e+0, 7.284e+0, -2.603e+0, 7.736e+0, -19.7
1.778e+0, 7.630e+0, -2.689e+0, 8.090e+0, -19.4
1.468e+0, 8.398e+0, -2.695e+0, 8.820e+0, -17.8
1.212e+0, 8.709e+0, -2.557e+0, 9.077e+0, -16.4
1.000e+0, 9.161e+0, -2.395e+0, 9.469e+0, -14.7
8.254e-1, 9.547e+0, -2.158e+0, 9.788e+0, -12.7
6.813e-1, 9.733e+0, -1.861e+0, 9.909e+0, -10.8
5.623e-1, 9.913e+0, -1.839e+0, 1.008e+1, -10.5
4.642e-1, 1.018e+1, -1.566e+0, 1.030e+1, -8.7
3.831e-1, 1.030e+1, -1.535e+0, 1.041e+1, -8.5
3.162e-1, 1.036e+1, -1.127e+0, 1.043e+1, -6.2
2.610e-1, 1.044e+1, -1.044e+0, 1.049e+1, -5.7
2.154e-1, 1.058e+1, -8.986e-1, 1.061e+1, -4.9
1.778e-1, 1.087e+1, -8.103e-1, 1.090e+1, -4.3
1.468e-1, 1.055e+1, -7.283e-1, 1.057e+1, -3.9
1.212e-1, 1.094e+1, -6.842e-1, 1.096e+1, -3.6
1.000e-1, 1.089e+1, -6.434e-1, 1.091e+1, -3.4
