Nov. 23, 2024   16:33:23
Linear Sweep Voltammetry
File: d:\yx\20241123\6-3\lsv.csv
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.548
Final E (V) = 1.348
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2

Results:

Channel 1:

Potential/V, Current/A

0.548, 2.400e-5
0.549, 8.638e-5
0.550, 1.055e-4
0.551, 1.149e-4
0.552, 1.161e-4
0.553, 1.179e-4
0.554, 1.193e-4
0.555, 1.218e-4
0.556, 1.266e-4
0.557, 1.295e-4
0.558, 1.319e-4
0.559, 1.312e-4
0.560, 1.293e-4
0.561, 1.295e-4
0.562, 1.327e-4
0.563, 1.362e-4
0.564, 1.377e-4
0.565, 1.360e-4
0.566, 1.342e-4
0.567, 1.347e-4
0.568, 1.361e-4
0.569, 1.403e-4
0.570, 1.412e-4
0.571, 1.398e-4
0.572, 1.373e-4
0.573, 1.379e-4
0.574, 1.406e-4
0.575, 1.440e-4
0.576, 1.431e-4
0.577, 1.414e-4
0.578, 1.386e-4
0.579, 1.395e-4
0.580, 1.422e-4
0.581, 1.447e-4
0.582, 1.447e-4
0.583, 1.414e-4
0.584, 1.401e-4
0.585, 1.427e-4
0.586, 1.473e-4
0.587, 1.476e-4
0.588, 1.470e-4
0.589, 1.431e-4
0.590, 1.418e-4
0.591, 1.455e-4
0.592, 1.484e-4
0.593, 1.489e-4
0.594, 1.461e-4
0.595, 1.440e-4
0.596, 1.440e-4
0.597, 1.465e-4
0.598, 1.495e-4
0.599, 1.503e-4
0.600, 1.481e-4
0.601, 1.469e-4
0.602, 1.458e-4
0.603, 1.472e-4
0.604, 1.513e-4
0.605, 1.518e-4
0.606, 1.497e-4
0.607, 1.468e-4
0.608, 1.472e-4
0.609, 1.491e-4
0.610, 1.518e-4
0.611, 1.524e-4
0.612, 1.511e-4
0.613, 1.482e-4
0.614, 1.483e-4
0.615, 1.517e-4
0.616, 1.525e-4
0.617, 1.527e-4
0.618, 1.488e-4
0.619, 1.464e-4
0.620, 1.491e-4
0.621, 1.539e-4
0.622, 1.534e-4
0.623, 1.495e-4
0.624, 1.483e-4
0.625, 1.516e-4
0.626, 1.550e-4
0.627, 1.553e-4
0.628, 1.538e-4
0.629, 1.512e-4
0.630, 1.510e-4
0.631, 1.539e-4
0.632, 1.560e-4
0.633, 1.534e-4
0.634, 1.509e-4
0.635, 1.514e-4
0.636, 1.556e-4
0.637, 1.578e-4
0.638, 1.561e-4
0.639, 1.543e-4
0.640, 1.531e-4
0.641, 1.543e-4
0.642, 1.583e-4
0.643, 1.585e-4
0.644, 1.586e-4
0.645, 1.567e-4
0.646, 1.528e-4
0.647, 1.556e-4
0.648, 1.565e-4
0.649, 1.586e-4
0.650, 1.603e-4
0.651, 1.618e-4
0.652, 1.582e-4
0.653, 1.559e-4
0.654, 1.572e-4
0.655, 1.574e-4
0.656, 1.589e-4
0.657, 1.625e-4
0.658, 1.619e-4
0.659, 1.586e-4
0.660, 1.592e-4
0.661, 1.600e-4
0.662, 1.622e-4
0.663, 1.649e-4
0.664, 1.624e-4
0.665, 1.608e-4
0.666, 1.589e-4
0.667, 1.602e-4
0.668, 1.653e-4
0.669, 1.639e-4
0.670, 1.617e-4
0.671, 1.607e-4
0.672, 1.619e-4
0.673, 1.653e-4
0.674, 1.647e-4
0.675, 1.626e-4
0.676, 1.616e-4
0.677, 1.622e-4
0.678, 1.664e-4
0.679, 1.685e-4
0.680, 1.635e-4
0.681, 1.627e-4
0.682, 1.629e-4
0.683, 1.662e-4
0.684, 1.682e-4
0.685, 1.659e-4
0.686, 1.639e-4
0.687, 1.660e-4
0.688, 1.684e-4
0.689, 1.703e-4
0.690, 1.688e-4
0.691, 1.658e-4
0.692, 1.674e-4
0.693, 1.706e-4
0.694, 1.717e-4
0.695, 1.704e-4
0.696, 1.664e-4
0.697, 1.709e-4
0.698, 1.722e-4
0.699, 1.732e-4
0.700, 1.729e-4
0.701, 1.700e-4
0.702, 1.699e-4
0.703, 1.735e-4
0.704, 1.747e-4
0.705, 1.768e-4
0.706, 1.774e-4
0.707, 1.737e-4
0.708, 1.736e-4
0.709, 1.736e-4
0.710, 1.772e-4
0.711, 1.803e-4
0.712, 1.775e-4
0.713, 1.770e-4
0.714, 1.751e-4
0.715, 1.769e-4
0.716, 1.815e-4
0.717, 1.795e-4
0.718, 1.765e-4
0.719, 1.767e-4
0.720, 1.764e-4
0.721, 1.794e-4
0.722, 1.816e-4
0.723, 1.783e-4
0.724, 1.791e-4
0.725, 1.834e-4
0.726, 1.868e-4
0.727, 1.876e-4
0.728, 1.822e-4
0.729, 1.819e-4
0.730, 1.837e-4
0.731, 1.854e-4
0.732, 1.847e-4
0.733, 1.806e-4
0.734, 1.829e-4
0.735, 1.881e-4
0.736, 1.900e-4
0.737, 1.908e-4
0.738, 1.903e-4
0.739, 1.899e-4
0.740, 1.927e-4
0.741, 1.949e-4
0.742, 1.969e-4
0.743, 1.969e-4
0.744, 1.952e-4
0.745, 1.972e-4
0.746, 2.012e-4
0.747, 2.026e-4
0.748, 2.083e-4
0.749, 2.063e-4
0.750, 2.034e-4
0.751, 2.056e-4
0.752, 2.088e-4
0.753, 2.151e-4
0.754, 2.181e-4
0.755, 2.191e-4
0.756, 2.181e-4
0.757, 2.191e-4
0.758, 2.239e-4
0.759, 2.303e-4
0.760, 2.331e-4
0.761, 2.356e-4
0.762, 2.365e-4
0.763, 2.356e-4
0.764, 2.425e-4
0.765, 2.504e-4
0.766, 2.595e-4
0.767, 2.633e-4
0.768, 2.659e-4
0.769, 2.739e-4
0.770, 2.809e-4
0.771, 2.890e-4
0.772, 2.969e-4
0.773, 3.022e-4
0.774, 3.049e-4
0.775, 3.123e-4
0.776, 3.228e-4
0.777, 3.348e-4
0.778, 3.468e-4
0.779, 3.582e-4
0.780, 3.683e-4
0.781, 3.776e-4
0.782, 3.911e-4
0.783, 4.056e-4
0.784, 4.200e-4
0.785, 4.391e-4
0.786, 4.523e-4
0.787, 4.696e-4
0.788, 4.840e-4
0.789, 5.044e-4
0.790, 5.274e-4
0.791, 5.502e-4
0.792, 5.730e-4
0.793, 5.936e-4
0.794, 6.182e-4
0.795, 6.453e-4
0.796, 6.758e-4
0.797, 7.059e-4
0.798, 7.367e-4
0.799, 7.672e-4
0.800, 7.961e-4
0.801, 8.297e-4
0.802, 8.663e-4
0.803, 9.038e-4
0.804, 9.478e-4
0.805, 9.872e-4
0.806, 1.026e-3
0.807, 1.067e-3
0.808, 1.109e-3
0.809, 1.162e-3
0.810, 1.209e-3
0.811, 1.261e-3
0.812, 1.312e-3
0.813, 1.357e-3
0.814, 1.413e-3
0.815, 1.471e-3
0.816, 1.530e-3
0.817, 1.594e-3
0.818, 1.647e-3
0.819, 1.710e-3
0.820, 1.774e-3
0.821, 1.844e-3
0.822, 1.916e-3
0.823, 1.984e-3
0.824, 2.054e-3
0.825, 2.123e-3
0.826, 2.196e-3
0.827, 2.279e-3
0.828, 2.346e-3
0.829, 2.430e-3
0.830, 2.515e-3
0.831, 2.589e-3
0.832, 2.671e-3
0.833, 2.756e-3
0.834, 2.844e-3
0.835, 2.939e-3
0.836, 3.023e-3
0.837, 3.105e-3
0.838, 3.200e-3
0.839, 3.295e-3
0.840, 3.394e-3
0.841, 3.486e-3
0.842, 3.588e-3
0.843, 3.683e-3
0.844, 3.788e-3
0.845, 3.902e-3
0.846, 4.006e-3
0.847, 4.114e-3
0.848, 4.219e-3
0.849, 4.326e-3
0.850, 4.425e-3
0.851, 4.539e-3
0.852, 4.659e-3
0.853, 4.767e-3
0.854, 4.890e-3
0.855, 4.997e-3
0.856, 5.099e-3
0.857, 5.210e-3
0.858, 5.333e-3
0.859, 5.447e-3
0.860, 5.573e-3
0.861, 5.690e-3
0.862, 5.795e-3
0.863, 5.911e-3
0.864, 6.031e-3
0.865, 6.145e-3
0.866, 6.250e-3
0.867, 6.376e-3
0.868, 6.499e-3
0.869, 6.625e-3
0.870, 6.755e-3
0.871, 6.878e-3
0.872, 7.019e-3
0.873, 7.155e-3
0.874, 7.287e-3
0.875, 7.444e-3
0.876, 7.607e-3
0.877, 7.715e-3
0.878, 7.835e-3
0.879, 7.952e-3
0.880, 8.060e-3
0.881, 8.183e-3
0.882, 8.312e-3
0.883, 8.447e-3
0.884, 8.604e-3
0.885, 8.728e-3
0.886, 8.860e-3
0.887, 8.998e-3
0.888, 9.118e-3
0.889, 9.229e-3
0.890, 9.346e-3
0.891, 9.457e-3
0.892, 9.599e-3
0.893, 9.777e-3
0.894, 9.919e-3
0.895, 1.007e-2
0.896, 1.021e-2
0.897, 1.033e-2
0.898, 1.044e-2
0.899, 1.056e-2
0.900, 1.069e-2
0.901, 1.080e-2
0.902, 1.094e-2
0.903, 1.125e-2
0.904, 1.140e-2
0.905, 1.152e-2
0.906, 1.166e-2
0.907, 1.182e-2
0.908, 1.191e-2
0.909, 1.218e-2
0.910, 1.234e-2
0.911, 1.244e-2
0.912, 1.256e-2
0.913, 1.267e-2
0.914, 1.282e-2
0.915, 1.295e-2
0.916, 1.310e-2
0.917, 1.329e-2
0.918, 1.338e-2
0.919, 1.348e-2
0.920, 1.363e-2
0.921, 1.386e-2
0.922, 1.400e-2
0.923, 1.414e-2
0.924, 1.430e-2
0.925, 1.439e-2
0.926, 1.463e-2
0.927, 1.478e-2
0.928, 1.494e-2
0.929, 1.504e-2
0.930, 1.514e-2
0.931, 1.533e-2
0.932, 1.543e-2
0.933, 1.553e-2
0.934, 1.568e-2
0.935, 1.583e-2
0.936, 1.594e-2
0.937, 1.618e-2
0.938, 1.644e-2
0.939, 1.650e-2
0.940, 1.660e-2
0.941, 1.676e-2
0.942, 1.689e-2
0.943, 1.706e-2
0.944, 1.714e-2
0.945, 1.736e-2
0.946, 1.741e-2
0.947, 1.760e-2
0.948, 1.788e-2
0.949, 1.815e-2
0.950, 1.832e-2
0.951, 1.845e-2
0.952, 1.860e-2
0.953, 1.878e-2
0.954, 1.884e-2
0.955, 1.906e-2
0.956, 1.920e-2
0.957, 1.935e-2
0.958, 1.945e-2
0.959, 1.955e-2
0.960, 1.974e-2
0.961, 2.004e-2
0.962, 2.014e-2
0.963, 2.014e-2
0.964, 2.020e-2
0.965, 2.042e-2
0.966, 2.064e-2
0.967, 2.078e-2
0.968, 2.096e-2
0.969, 2.116e-2
0.970, 2.119e-2
0.971, 2.144e-2
0.972, 2.153e-2
0.973, 2.176e-2
0.974, 2.184e-2
0.975, 2.193e-2
0.976, 2.205e-2
0.977, 2.216e-2
0.978, 2.245e-2
0.979, 2.274e-2
0.980, 2.284e-2
0.981, 2.294e-2
0.982, 2.309e-2
0.983, 2.320e-2
0.984, 2.344e-2
0.985, 2.350e-2
0.986, 2.370e-2
0.987, 2.413e-2
0.988, 2.418e-2
0.989, 2.432e-2
0.990, 2.466e-2
0.991, 2.481e-2
0.992, 2.497e-2
0.993, 2.515e-2
0.994, 2.515e-2
